"month","total_enrollment","previous_month_enrollment","enrollment_change","enrollment_growth_pct"
"2022-01-01 00:00:00+07",4,NULL,NULL,NULL
"2022-02-01 00:00:00+07",10,4,6,150.00
"2022-03-01 00:00:00+07",17,10,7,70.00
"2022-04-01 00:00:00+07",28,17,11,64.71
"2022-05-01 00:00:00+07",26,28,-2,-7.14
"2022-06-01 00:00:00+07",38,26,12,46.15
"2022-07-01 00:00:00+07",57,38,19,50.00
"2022-08-01 00:00:00+07",65,57,8,14.04
"2022-09-01 00:00:00+07",56,65,-9,-13.85
"2022-10-01 00:00:00+07",87,56,31,55.36
"2022-11-01 00:00:00+07",89,87,2,2.30
"2022-12-01 00:00:00+07",111,89,22,24.72
"2023-01-01 00:00:00+07",119,111,8,7.21
"2023-02-01 00:00:00+07",106,119,-13,-10.92
"2023-03-01 00:00:00+07",130,106,24,22.64
"2023-04-01 00:00:00+07",122,130,-8,-6.15
"2023-05-01 00:00:00+07",164,122,42,34.43
"2023-06-01 00:00:00+07",165,164,1,0.61
"2023-07-01 00:00:00+07",187,165,22,13.33
"2023-08-01 00:00:00+07",195,187,8,4.28
"2023-09-01 00:00:00+07",185,195,-10,-5.13
"2023-10-01 00:00:00+07",217,185,32,17.30
"2023-11-01 00:00:00+07",252,217,35,16.13
"2023-12-01 00:00:00+07",274,252,22,8.73
"2024-01-01 00:00:00+07",291,274,17,6.20
"2024-02-01 00:00:00+07",249,291,-42,-14.43
"2024-03-01 00:00:00+07",312,249,63,25.30
"2024-04-01 00:00:00+07",317,312,5,1.60
"2024-05-01 00:00:00+07",391,317,74,23.34
"2024-06-01 00:00:00+07",387,391,-4,-1.02
"2024-07-01 00:00:00+07",465,387,78,20.16
"2024-08-01 00:00:00+07",485,465,20,4.30
"2024-09-01 00:00:00+07",548,485,63,12.99
"2024-10-01 00:00:00+07",550,548,2,0.36
"2024-11-01 00:00:00+07",650,550,100,18.18
"2024-12-01 00:00:00+07",738,650,88,13.54
"2025-01-01 00:00:00+07",895,738,157,21.27
"2025-02-01 00:00:00+07",886,895,-9,-1.01
"2025-03-01 00:00:00+07",512,886,-374,-42.21
