"course_id","title","total_quiz_results","average_score","highest_score","lowest_score","average_attempt","passed_quiz","pass_rate"
"CRS029","Bayesian Statistics Praktis",334,71.40,100,31,1.27,200,59.88
"CRS047","Data Modeling: Star & Snowflake",862,71.75,100,30,1.24,541,62.76
"CRS023","Analytical SQL untuk Marketing",688,72.23,100,30,1.29,421,61.19
"CRS024","SQL Joins & Subqueries dari Nol",1049,70.35,100,30,1.27,619,59.01
"CRS027","Time Series Analysis dengan Python",386,71.26,100,30,1.29,226,58.55
"CRS031","SQL untuk Data Analyst Pemula",786,71.86,100,30,1.27,485,61.70
"CRS002","Excel untuk HR Analytics",802,71.29,100,30,1.26,499,62.22
"CRS041","Power Query untuk Data Cleaning",318,70.88,100,30,1.27,192,60.38
"CRS004","ETL Pipeline dengan Python",939,72.69,100,30,1.25,606,64.54
"CRS015","Python Data Pipeline End-to-End",713,69.92,100,30,1.25,419,58.77
"CRS018","Statistik Dasar untuk Data Analyst",882,71.64,100,30,1.27,558,63.27
"CRS030","Power BI Advanced: Calculated Tables",1228,72.13,100,30,1.29,780,63.52
"CRS003","Dashboard Interaktif dengan Power BI",691,71.51,100,30,1.26,427,61.79
"CRS040","Statistical Inference dari Nol",669,70.43,100,30,1.26,387,57.85
"CRS016","SQL untuk Business Intelligence",793,71.97,100,30,1.27,508,64.06
"CRS034","Excel untuk Pemula Banget",227,67.03,100,30,1.25,111,48.90
"CRS038","DAX Fundamentals",1020,72.46,100,30,1.29,650,63.73
"CRS044","SQL Server: Stored Procedures",1097,71.81,100,30,1.28,683,62.26
"CRS012","Cloud Data Warehouse Fundamentals",968,71.50,100,30,1.28,601,62.09
"CRS026","Query Optimization untuk Database Besar",561,71.27,100,30,1.27,342,60.96
"CRS035","Pengenalan Data Engineering",949,71.22,100,30,1.28,581,61.22
"CRS006","Python Dasar untuk Analisis Data",921,71.01,100,30,1.27,552,59.93
"CRS033","VBA Macro untuk Automasi",550,70.75,100,30,1.28,332,60.36
"CRS010","Python untuk Automasi Excel",472,71.85,100,30,1.27,292,61.86
"CRS008","Excel Dashboard yang Profesional",349,70.20,100,30,1.28,207,59.31
"CRS048","Scikit-learn dari Nol",339,70.47,100,30,1.27,206,60.77
"CRS014","Probabilitas untuk Data Science",555,72.51,100,30,1.25,353,63.60
"CRS028","Visualisasi Data dengan Matplotlib",516,71.97,100,30,1.24,331,64.15
"CRS021","dbt untuk Analytics Engineer",1045,71.07,100,30,1.28,631,60.38
"CRS011","Deep Learning dengan TensorFlow",670,72.68,100,30,1.27,441,65.82
"CRS005","Advanced Formulas: INDEX MATCH XLOOKUP",872,71.99,100,30,1.23,563,64.56
"CRS007","Web Scraping dengan Python",670,71.02,100,30,1.25,408,60.90
"CRS045","Pandas & NumPy: Data Wrangling",245,67.23,100,30,1.28,118,48.16
"CRS013","SQL Lanjutan: Window Functions",764,71.25,100,30,1.26,474,62.04
"CRS025","Python untuk Machine Learning",901,71.48,100,30,1.26,536,59.49
"CRS036","Regresi Linear & Logistik",1061,71.09,100,30,1.28,642,60.51
"CRS020","Belajar PostgreSQL dari Dasar",355,70.07,100,30,1.29,200,56.34
"CRS017","Power BI untuk Sales Analytics",994,70.80,100,30,1.28,605,60.87
"CRS042","Excel untuk Finance Analyst",504,71.80,100,30,1.26,315,62.50
"CRS046","Pivot Table & Power Pivot",233,67.77,100,30,1.27,118,50.64
"CRS050","A/B Testing untuk Product Manager",447,70.07,100,30,1.32,255,57.05
"CRS009","Power BI Service & Publishing",675,71.97,100,30,1.27,441,65.33
"CRS022","ANOVA & Chi-Square Test",882,70.12,100,30,1.27,519,58.84
"CRS037","SQL Project: Build Data Warehouse",236,68.12,100,30,1.29,123,52.12
"CRS019","Modeling Data di Power BI",657,70.53,100,30,1.25,398,60.58
